opaqueness	undurchsichtigkeit
minutia	details
hizb	hizb
much-criticised	kritisiert
lures	köder
reykjavik	reykjavik
dexterity	fingerfertigkeit
sacking	einsacken
bavarian	oberbayerischen
preempted	vorbelegt
recombination	rekombination
stabilises	stabilisiert
copd	copd
spawners	rogener
life-prolonging	lebensverlängernden
arousing	erregend
warped	krumm
insect-resistant	insektenresistent
constitutive	konstitutive
gezi	gezi
amused	amüsiert
high-value-added	wertaufschlag
baulks	pfeiler
stockholders	aktionäre
mhra	mhra
zhukov	zhukov
out-of-control	zügellos
nuclear-proliferation	nuklearproliferation
reassures	beruhigt
anti-sandinista	antisandinistischen
cute	süß
footprints	fußabdrucke
carmona	carmona
hazaras	hazaras
diagrams	diagramme
small-time	klein
military-security	militärsicherheit
microcredit	kleinstkredite
wassenaar	wassenaar
gales	stürme
femininity	feminität
shrivel	schrumpfen
microbial	mikrobisch
motor-vehicle	motorfahrzeug
persecute	verfolgen
multi-lateral	multilateraler
lubanga	lubanga
post-2012	nach-2012
slam	slam
hunkered	hinkauernd
hitch	kupplung
infamy	infamie
co-ordinate	koordinieren
starred	gestirnt
mistrustful	misstrauisch
spina	spina
commuter	pendler
hallucinatory	halluzinierend
bilmes	bilmes
brunner	brunner
retrain	umschulung
fluidity	fluidität
pliant	geschmeidig
energy-related	energiebezogen
decorations	dekorationen
argentine-style	argentinisch
co2-equivalent	co2-äquivalent
market-clearing	marktausgleich
rubbish	müll
neoconservative	neokonservative
livers	lebern
bathtub	badewanne
boulevard	boulevard
nutty	nussig
hbos	hbos
comity	freundlichkeit
arbor	laube
troy	troja
stairs	treppenaufgänge
lavishly	freigiebig
satire	satire
1994-1995	1994-1995
adjuvant	hilfsstoff
valentine	valentine
unbeatable	unschlagbar
scorched-earth	verbrannte-erde
passable	annehmbar
sages	weise
australasia	australasien
grumbled	maulend
decriminalised	entkriminalisiert
floodgates	schleusentore
european-wide	europaweite
ctbto	ctbto
religion-based	religionsbasierte
pogrom	pogrom
wrist	handgelenke
scrupulous	gewissenhaften
fireman	feuerwehrmann
stipulating	festsetzen
exeter	exeter
cranes	krane
nout	nout
fixed-term	festvertraglich
scrapie	traberkrankheit
auc	auc
bjørn	bjørn
insightful	hochinteressant
american-made	amerikanisch
ogaden	ogaden
ods	ods
proscribed	geächtet
enjoyable	angenehmen
vanishingly	entschwindend
reschedule	umterminieren
glittering	glitzernden
weave	weben
infantry	infanterie
peatlands	sumpflandschaften
investigator	untersuchungsbeamter
nusra	nusra
bathroom	badezimmer
near-unanimous	beinahe-einstimmig
dissavers	verschwender
cabin	kabine
bundy	bundy
relatedness	verwandschaft
favorable	günstig
magnanimity	großmut
avarice	habgier
adulterated	verfälscht
rudolf	rudolf
vigilante	bürgerwehr
roscosmos	roscosmos
democracy-promotion	demokratiegestützt
procrastinate	prokastrinieren
fruition	erfüllung
cannon	kanone
huts	berghütten
184	184
purchasing-power-parity	kaufkraftparität
flouts	beleidigungen
discard	verwerfen
nirvana	nirvana
mythological	mythologische
chavalit	chavalit
helpfully	hilfsbereit
manoeuvred	manövriert
anxiously	ängstlich
investment-driven	investmentgesteuert
interferences	einmischungen
sensations	gefühle
blunts	joint
sexist	sexistischen
pim	pim
flares	fackeln
overreactions	überreaktionen
snack	snack
injunctions	vorschriften
heydar	heydar
austin	austin
call-centre	callcenter
650,000	650,000
natures	naturen
biodiesel	biodiesel
deforested	abgeholzt
1862	1862
everlasting	immerwährende
reassertion	wiederbehauptung
wretchedness	elend
starter	starter
simulate	simulieren
attitudinal	haltungsbasiert
baulking	scheuend
fending	abwehrend
akio	akio
idealise	idealisieren
swathe	binde
370	370
indigestible	unverdaulich
factually	tatsachlich
ambit	bereich
utopianism	utopismus
flipping	schnippend
anointment	salbung
denunciations	denunziation
evidentiary	beweiserhebend
abuzz	angereichert
pacifists	pazifisten
undisturbed	ungestört
politicising	politisierend
eu-china	eu-china
high-tax	hochbesteuert
persevered	beharrend
benefitted	zugutekommen
deficit-financed	schuldenfinanzierten
macromarkets	makromarkt
ever-deepening	weiter-vertiefend
rewiring	verkabeln
villanueva	villanueva
cruelly	grausam
far-away	entfernt
heavy-handedness	plumpheit
malaria-control	malariakontrolle
devils	teufels
35,000	35,000
cystic	zystisch
recreated	rekonstruiert
jackets	jacken
240,000	240,000
capital-scarce	kapitalknappheit
flout	beleidigung
shiraz	shiraz
gleefully	fröhlich
audible	hörbar
nurtures	pflegen
homogenising	homogenisierend
geopolitically	geopolitisch
antecedents	vorhergehend
bootleggers	schmuggler
vasile	vasile
polio-free	poliofrei
triffin	triffin
brick-and-mortar	herkömmlich
gland	drüse
metropolises	metropolen
eeu	eeu
refinanced	refinanziert
backward-looking	rückwärtsgewand
slices	stücke
rate-setting	ratenfestlegung
boao	boao
impressionable	beeindruckbar
assertively	bestimmend
bruni	bruni
slow-moving	langsam
syringes	spritzen
rostowski	rostowski
spatial	räumlich
anti-americans	antiamerikaner
little-known	unbekannt
shikotan	shikotan
short-time	kurzzeitig
eunavfor	eunavfor
mini-state	kleinstaat
zappa	zappa
predominate	dominieren
overemphasised	überbetont
quagmires	moraste
on-the-ground	vor-ort
teetered	taumelnd
fiefdom	feudalherrschaft
al-fanek	al-fanek
sneezed	genießt
pogge	pogge
consternation	bestürzung
industrialized	industrialisiert
ochoa	ochoa
soon-to-be	baldig
post-yugoslav	postjugoslawisch
misnomer	fehlbezeichnung
reciprocation	gegenseitigkeit
centenary	hundertjahrfeier
flirts	flirte
173	173
ecstatic	extatisch
glushko	gluschko
jacobin	jakobiner
giorgio	giorgio
smelled	gerochen
amputations	amputationen
ingested	eingenommen
melancholy	melancholie
unneeded	unnötig
bellies	bäuche
categorised	kategorisiert
propensities	neigungen
creutzfeldt-jakob	creutzfeldt-jakob-krankheit
treasonous	verräterisch
yuan-dollar	yuan-dollar
hezbollah-controlled	hezbollah-kontrolliert
herbicides	herbizide
kanjorski	kanjorski
reconfigured	umkonfiguriert
self-deterrence	selbstabschreckung
space-based	raumbasierte
cleaners	reinigungskräfte
ishayev	ishayev
thou	du
concordia	concordia
tretyakov	tretjakow
shostakovich	schostakowitsch
refocused	umkonzentriert
compress	komprimieren
fax	fax
disciple	schüler
hamas-fatah	hamas-fatah
pdvsa	pdvsa
appreciative	wertschätzung
miners	minenarbeiter
ghanaians	ghanaer
repertoire	repertoire
self-	selbst-
zealot	eiferer
columbus	columbus
verifiably	überprüfbar
camara	camara
unwinnable	aussichtslos
fdr	fdr
reassurances	zusicherungen
1.30	1.30
560	560
spasm	krampf
cochlear	kochlear
perfidious	perfid
lower-paid	unterbezahlt
rodrigo	rodrigo
1718	1718
bonaparte	bonaparte
vandalism	vandalismus
recommit	zurückverweisen
ndpo	ndpo
lump-of-labour	arbeitsgroßteil
glories	ruhm
detracts	abziehen
rectifying	behebend
off-again	mal-wieder
ever-more	wachsend
cliffhanger	cliffhanger
misadventures	missgeschicke
metastasising	metastisierend
cereal	getreide
tormented	gepeinigt
break-even	kostendeckend
ordinance	anordnung
dimitri	dimitri
hallucinated	halluzinierd
delegitimization	entrechtlichung
listener	zuhörer
nikkei	nikkei
trumping	trumpfen
2007-08	2007-08
thankless	undankbar
oxidation	oxidation
ibn-khaldun	ibn-khaldun
glaxosmithkline	glaxosmithkline
exemplar	vorbild
swearing	fluchen
near-record	beinahe-rekord
15-19	15-19
dissenter	regimegegner
keystone	schlüsselelement
non-starter	fortgeschritten
value-based	wertorientiert
esteemed	angesehen
thirty-six	siebenunddreißig
hewlett-packard	hewlett-packard
rarity	rarität
underworld	unterwelt
karate	karate
barges	schiffe
risk-based	risikobasierte
july-september	juli-september
hyun	hyun
galaxies	galaxien
ill-informed	schlechtinformiert
outperforming	übertreffen
belongings	wertgegenstände
shleifer	shleifer
comroe	comroe
invulnerable	unverwundbar
cellphones	handies
jaws	kiefer
implicate	verwickeln
ramped	beschleunigt
zhongnanhai	zhongnanhai
365	365
somoza	somoza
unbounded	schrankenlos
next-door	nachbarschaft
sprouting	keimend
chased	punziert
contingent-capital	bedingtheitskapital
subtracting	abziehen
enablers	beschleuniger
whence	woher
pasture	grasland
plankton	plankton
scatter	verteilen
decider	entscheider
kashmiri	kaschmiri
grisly	scheußlich
over-stretched	überdehnt
pml-q	pml-q
ipos	ipos
non-ideological	nichtideologisch
formidably	schrecklich
co-authors	co-autoren
eco-friendly	umweltfreundlich
marketers	marketer
ukha	ukha
216	216
wright	wright
late-night	spätabends
forgetfulness	achtlosigkeit
chu	chu
eight-month	achtmonatigen
multipurpose	mehrzweck
famed	weltberühmt
renovating	renovierend
sergio	sergio
bilateralism	bilateralismus
broadest	breitestmögliche
28-29	28-29
antidemocratic	antidemokratisch
concessionary	konzessionäre
antiques	antiquitäten
hoards	schätze
racked	gequält
second-home	zweitwohnsitz
slandered	denunziert
integralist	essenzialistische
nanjing	nanjing
msf	msf
28,000	28,000
unprincipled	prinzipienlos
basques	basken
yala	yala
great-grandfather	urgroßvater
mechanically	mechanisch
anti-racism	antirassismus
africana	africana
gradient	gefälle
byproducts	nebenprodukte
congruence	kongruenz
muddied	beschmutzt
neutered	kastriert
abkhazians	abchasier
pre-defined	vordefiniert
rooftops	dachterrasse
procrastinated	zaudern
stereotypical	stereotyp
khasawneh	khasawneh
collaborationist	kollaborateur
frigate	fregatte
micro-level	mikroebene
provincials	orovinzler
purveyors	lieferanten
tomb	grabstätte
inapplicable	unanwendbar
upbringing	erziehung
glossed	satiniert
t.s.	t.s.
zealots	eiferer
law-and-order	Recht-und-Ordnung
al-zahar	al-zahar
disappoints	enttäuschen
lester	lester
direct-current	gleichstrom
megalomania	größenwahn
savagely	grausam
12.8	12.8
ozone-depleting	ozonschädigend
shuttles	busshuttle
shorn	geschoren
talabani	talabani
tapes	tonbänder
social-networking	netzwerkbildung
self-dealing	selbstkontrahierung
lunchbox	lunchbox
aspirants	anwärter
ny	ny
succumbs	unterliegen
unknowable	unerkennbar
partido	partido
tiers	schichten
cauldron	kessel
-20	-20
self-reported	selbstangezeigt
yitzak	yitzak
manezhnaya	manezhnaya
nativism	nativismus
back-loaded	verschoben
anti-aircraft	flugabwehr
misbehave	danebenbenehmen
grain-growing	getreideanbau
275	275
evaluates	evaluiert
amateurs	amateure
spreadsheets	tabellen
non-aggression	nichtaggressiv
1856	1856
chronological	chronologische
ladin	ladinische
hijackers	entführer
hegelian	hegelianisch
frail	brüchig
civics	bürgerschaftskunde
protester	demonstrant
refuelling	wiederbetankung
1901	1901
unloaded	entladen
jean-baptiste	jean-baptiste
screamed	schrie
mori	mori
12.7	12.7
aum	aum
diving	tauchsport
bookshops	buchhandlungen
triples	dreifach
landings	landungen0.702245354652
appreciations	wertschätzungen
buttons	tasten
renationalization	renationalisierung
1889	1889
motorcycle	motorrad
underpriced	unterbewertet
bug	bug
roubini	roubini
estonian	estnische
kuok	kuok
computer-based	computerbasierte
spooked	erschreckt
right-left	rechts-links
cohn-bendit	cohn-bendit
12-18	12-18
deposing	entthronen
denomination	bekenntnis
kims	kims
unseemly	unziemlich
miseries	elend
once-in-a-century	jahrhundertergeignis
demented	verrückt
respirator	atmungsgerät
slimmed	gestrafft
world-famous	weltberühmt
two-month	zweimonatig
mimicked	imitiert
prefectural	präfektur
subgroups	typgruppen
mutates	mutiert
lai	lai
breadwinner	ernährer
mehemet	mehemet
moralise	moralisieren
wakefield	wakefield
oversold	überverkauft
neo-con	neokonservative
self-stabilising	selbststabilisierend
legislating	gesetzgebend
hyphenated	bindestrich
shrivelled	geschrumpft
twenty-second	zwanzigsekündig
algae	algen
states-based	staatenbasiert
classifies	klassifiziert
zhamanak	zhamanak
genocides	völkermorde
vulgarity	vulgarität
-0.9	-0.9
disbursements	aufwendungen
-6	-6
25-basis-point	25-basis-punkt
painter	maler
psychoanalytic	psychoanalytisch
deport	zwangsrückführung
sr.	senior
mcgill	mcgill
intrudes	eindrängen
lexicon	lexikon
multi-pronged	mehrgleisig
mistreating	misshandeln
savaged	verwildert
subsumed	subsumiert
thrashed	verhaut
euro-dollar	euro-dollar
imf-supported	imf-unterstützt
labours	lohnarbeiter
centrism	zentrismus
manias	paniken
reassessing	neubeurteilung
tech-savvy	computererfahrung
chlorine	chlor
contrarian	entgegengesetzt
props	stützen
conceives	konzepiert
stirs	aufwühlen
mo	mo
recurs	wiederauftreten
al-jazeera	al-jazeera
emissary	abgesandter
solar-powered	solarbetrieben
potentates	machtinhaber
infiltrate	infiltrieren
lithium	lithium
re-evaluate	neubewertung
conclusively	schlussfolgernd
grading	benotung
stuxnet	stuxnet
well-positioned	wohlpositioniert
de-legitimised	delegitimiert
hasnain	hasnain
autopilot	autopilot
hobbes	hobbes
clientelism	klientelismus
hanieh	hanieh
euro-asian	europäisch-asiatischen
dynamically	dynamisch
ganges	ganges
smothered	unterdrückt
testifies	bezeugt
comet	komet
pta	pta
cabos	cabos
