en	de
tomorrow	morgigen
content	content
re	erstklassige
encourage	ermutigen
piece	stück
millennium	schwelle
adapt	anzupassen
enable	javascript
reader	reader
medicine	medizin
surprise	überraschung
newly	neu
ro	ro
forth	usw.
independence	unabhängigkeit
foundation	foundation
inhabitants	einwohnern
turning	drehen
assured	versichert
rail	schiene
threatened	bedroht
little	wenig
free	kostenlose
yesterday	gestern
campaigns	kampagnen
confirmed	bestätigte
disputes	streitigkeiten
formation	bildung
evil	böse
checked	überprüft
wanted	wollten
certified	zertifiziert
enormous	enormen
created	geschaffen
starts	startet
messages	botschaften
days	tagen
priorities	prioritäten
ist	perfect
creates	schafft
000	000
oppose	ablehnen
isn	wahr
incorporated	eingebaut
signature	unterschrift
baltic	baltischen
clothes	kleidung
onto	biegen
user	user
awarded	verliehen
industrial	industriellen
features	features
attractions	attraktionen
december	dezember
encouraging	ermutigt
hearing	anhörung
channels	kanäle
floors	etagen
adopted	angenommenen
another	weiteres
bicycle	fahrrad
difficulty	schwierigkeit
clarity	klarheit
electronic	elektronischen
42	42
specially	eigens
he	er
renovated	renovierte
strasbourg	straßburg
similarly	ähnlicher
top	top
à	à
girls	mädchen
elevator	aufzug
needed	gebraucht
compromise	kompromiss
listed	aufgezahlt
draft	entwurfs
percentage	prozentsatz
john	john
dogs	hunde
listen	zuhören
manufacture	herstellung
urban	städtischen
ceiling	obergrenze
murder	mord
asset	vermögenswerte
geneva	genfer
mechanism	mechanismus
tool	werkzeug
villages	dörfern
serve	dienen
took	dauerte
rejected	abgelehnt
japanese	japanische
western	westliche
somewhat	irgendwie
shortly	kürze
artistic	künstlerischen
character	charakter
begins	beginnt
distance	distanz
trek	trek
target	zielgruppe
roles	rollen
surrounding	umliegenden
participated	teilgenommen
immigrants	einwanderern
enabled	aktiviert
rate	rate
nations	nationen
preparation	vorbereitung
matter	angelegenheit
classes	klassen
speaking	redezeit
iron	metall
feeling	gefühl
powers	befugnisse
acquisition	erwerb
perspective	vorausschau
bridge	brücke
fashion	mode
sees	sieht
willingness	bereitschaft
respecting	respektieren
modern	modernen
mind	verstand
spectrum	spektrum
glass	glas
raw	rohstoffen
graphics	grafiken
manner	weise
seen	gesehen
seem	scheinen
regulate	regulieren
seek	anstreben
tells	erzählt
contents	inhalte
relatively	relativ
forced	gezwungen
abroad	ausland
strength	stärke
genuine	echten
mostly	zumeist
concrete	konkrete
thoroughly	gründlich
latter	letztere
cope	bewältigen
snow	schnee
thorough	gründliche
situated	situated
sound	sound
recommended	empfohlen
subjects	themen
luxury	luxus
doors	türen
paris	paris
effectiveness	effektivität
taxation	besteuerung
nordic	nordischen
even	sogar
acquire	erwerben
roumania	rumänien
though	obwohl
centres	zentren
codecision	mitentscheidung
extending	ausweitung
involving	einbeziehung
mouth	mund
plenty	reichlich
entry	eintrag
phase	phase
bse	bse
maria	maria
camps	lagern
don	don
observation	beobachtung
medical	medizinischen
partition	partition
flow	fließen
rotary	rotary
treaty	vertrags
competitors	konkurrenten
points	punkte
principle	grundsatzes
enterprise	enterprise
voting	qualifizierter
consumer	verbraucherschutz
notion	vorstellung
fitted	ausgerüstet
reserve	reserve
saying	sage
amending	änderung
reductions	kürzungen
visitor	besucher
meetings	sitzungen
jurisdiction	rechtsprechung
ending	beendigung
treaties	verträgen
attempts	versuche
radio	radio
solutions	lösungen
participate	teilzunehmen
hungary	ungarn
intergovernmental	regierungskonferenz
lessons	lehren
execution	ausführung
busy	beschäftigt
layout	layout
proposed	vorgeschlagene
spite	trotz
implementation	implementierung
situations	situationen
explain	erläutern
unemployment	arbeitslosigkeit
sugar	zucker
theme	themas
rich	reiche
pursuing	verfolgung
integrate	integrieren
announce	mitteilen
folder	ordner
do	tun
exports	exporte
reconstruction	wiederaufbau
professionals	profis
de	de
stop	aufhören
television	fernsehen
preferred	bevorzugte
coast	küste
h	h
supplies	lieferungen
report	bericht
du	du
dr	dr.
net	netz
comply	einhalten
societies	gesellschaften
hall	hall
runs	läuft
contributes	beiträgt
bar	bar
17	17
greens	grünen
countries	länder
fields	felder
16	16
bay	bay
emu	wwu
twice	zweimal
bad	schlechte
architecture	architektur
carrier	fluggesellschaft
release	freilassung
automatic	automatischen
steam	dampfbad
urgency	dringlichkeit
secretary	generalsekretär
respond	reagieren
ethical	ethische
mandatory	obligatorische
disaster	katastrophe
fair	fairen
unanimously	einstimmig
testing	testen
observed	beobachtet
checks	kontrollen
depends	abhängt
decided	beschloss
result	resultat
fail	scheitern
christian	christlichen
optimum	optimalen
taiwan	taiwan
best	beste
techniques	techniken
brazil	brasilien
00	10:00
01	zuletzt
capacity	kapazität
07	10:00
ambitions	ambitionen
lots	menge
rare	seltene
away	away
patients	patienten
artificial	künstliche
continually	kontinuierlich
catalogue	katalog
unable	imstande
cooperation	kooperation
hopefully	hoffentlich
drawn	ausgearbeitet
tolerance	toleranz
discovery	entdeckung
preserve	bewahren
discipline	disziplin
reiterate	bekräftigen
men	männer
terms	nutzungsbedingungen
extend	auszudehnen
nature	natur
confusion	verwirrung
weak	schwach
however	jedoch
religious	religiösen
ltd	ltd.
rivers	flüsse
wear	tragen
extent	inwieweit
news	news
packages	pakete
rapporteur	berichterstatterin
wto	wto
suggested	schlug
received	erhielten
essentially	wesentlichen
accident	unfall
accused	verdacht
reported	berichtete
country	land
uncertainty	unsicherheit
heating	heizung
against	gegen
participating	teilnehmenden
players	spielern
else	sonst
und	hochschule
planned	geplante
receives	erhält
faces	konfrontiert
studio	studio
contribution	beitrag
argue	argumentieren
adapted	angepasst
asked	fragte
con	con
negotiation	verhandlung
prospect	aussicht
tough	harte
seriously	ernst
appeared	erschien
royal	royal
excess	übermäßige
2nd	2.
gap	lücke
active	aktive
denmark	dänemark
initiative	initiative
wider	breiter
250	250
trust	vertrauens
telecommunications	telekommunikation
bureaucratic	bürokratischen
speak	sprechen
conference	konferenz
signals	signale
bathroom	badezimmer
iraq	irak
recognises	anerkennt
engines	motoren
basis	grundlage
union	union
simplification	vereinfachung
condemned	verurteilt
three	drei
been	gewesen
quickly	rasch
commission	kommission
beer	bier
much	wieviel
interest	interesses
basic	basic
expected	erwarteten
flexible	flexiblen
entered	eingegeben
lovely	hübschen
pro	pro
duties	zölle
location	standort
website	website
dry	chemische
life	life
families	familien
relaxing	erholsamen
eastern	östlichen
drugs	drogen
quantities	mengen
concerning	betreffend
prison	gefängnis
search	search
enterprises	mittlere
coherent	kohärenz
lift	lift
personally	persönlich
catch	fangen
aviation	luftfahrt
worked	zusammengearbeitet
crossing	kreuzung
33	33
applied	angewendet
commerce	industrie-
exception	ausnahme
east	osten
presidency	präsidentschaft
gnu	gnu
economies	volkswirtschaften
air	luft
aim	ziel
near	naher
teachers	lehrer
applies	gilt
aid	beihilfen
balance	balance
study	studie
procedure	verfahrens
mistake	fehler
representing	repräsentieren
seven	sieben
economics	ökonomie
played	gespielt
ip	ip
is	ist
accessories	zubehör
ambition	ambitionen
expenses	ausgaben
ii	ii
player	player
im	fit
il	il
in	in
happening	geschieht
ie	explorer
id	id
if	falls
grown	gewachsen
containing	eindämmung
emergency	dringenden
perform	ausführen
suggest	deiner
make	make
demands	forderungen
airport	flughafens
clearly	eindeutig
beside	neben
complex	komplexen
potentially	potenziell
harmony	harmonie
unfortunate	bedauerlich
big	big
success	erfolg
several	mehrere
showing	zeigten
european	europäische
wheel	rad
independent	unabhängige
satellite	sat-tv
social	sozialen
qualifications	qualifikationen
speakers	rednern
rain	regen
hand	hand
liberties	bürgerliche
slovenia	slowenien
documents	dokumenten
portal	portal
ownership	eigentum
investments	investitionen
opportunity	gelegenheit
thoughts	gedanken
cycle	fahrrad
kept	aufbewahrt
piazza	piazza
programs	programmen
los	los
settled	nieder
failing	versagt
boxes	felder
ocean	ozean
academic	akademischen
savings	einsparungen
rome	rom
logo	logo
greatest	größtmögliche
mother	mutter
claims	behauptungen
the	desto
800	800
corporate	corporate
musical	musikalische
left	linke
opinions	meinungen
co2	co2
protocol	protokolls
traditions	traditionen
just	soeben
sentence	satz
photo	photo
sporting	sportlichen
unfair	fair
ideas	ideen
assigned	zugewiesen
proposes	schlägt
via	via
identify	identifizieren
purchasing	einkauf
human	menschliche
facts	fakten
yes	ja
yet	dennoch
previous	vorhergehenden
humanitarian	humanitärer
adding	hinzufügen
unique	einzigartiges
monitored	überwacht
hills	hügeln
candidate	kandidat
dining	salle
ease	erleichtern
had	gehabt
ideal	idealen
spread	ausbreitung
transformed	umgewandelt
board	board
easy	easy
technological	technologische
outset	vornherein
save	sparen
hat	red
humanity	menschlichkeit
gave	gaben
book	buches
21st	21.
survival	überleben
programmes	programmen
possible	möglich
arab	arabischen
possibly	möglicherweise
cultural	kulturellen
suffering	leid
birth	geburt
destroy	zerstören
judge	richter
farms	betriebe
shadow	schattenberichterstattern
hamas	hamas
advanced	advanced
apart	abgesehen
desire	wunsch
dignity	menschenwürde
populations	bevölkerungsgruppen
gift	geschenk
55	55
performing	durchführung
manual	handbuch
unnecessary	unnötige
competence	kompetenz
securities	aktien
remind	erinnern
steps	schritte
officer	ceo
arbitrary	beliebigen
security	security
accuracy	genauigkeit
signal	signal
portuguese	portugiesische
beneficial	vorteilhaft
right	richtige
conciliation	vermittlungsverfahren
deal	umzugehen
people	volk
czech	tschechische
successfully	erfolgreich
elderly	ältere
50	50
born	geboren
clubs	clubs
meters	metern
election	wahlkampf
specialities	spezialitäten
dear	lieber
multiple	mehrere
indirect	indirekten
congratulate	gratuliere
for	für
bottom	unteren
establish	etablieren
normal	normalen
months	monate
ice	eis
creative	kreative
contributing	beizutragen
everything	alles
asking	bittet
unit	einheit
denied	verweigert
offices	büros
christmas	weihnachten
participation	beteiligung
core	kern
package	pakets
forces	kräfte
energy	energie-
deleted	gelöscht
marketing	marketing
night	übernachtung
conventional	konventionellen
constructive	konstruktiven
discount	rabatt
restructuring	umstrukturierung
paid	gezahlt
architectural	architektur
losing	verlieren
post	post
manufacturing	fertigung
super	super
properties	eigenschaften
takes	dauert
chapter	kapitel
install	installieren
increasingly	zunehmend
attacks	anschläge
newspapers	zeitungen
palestinian	palästinensischen
accepts	akzeptiert
o	o
essential	unerlässlich
dinner	abendessen
ensure	sicherzustellen
afternoon	nachmittag
islands	inseln
efforts	bemühungen
palestinians	palästinensern
slightly	leicht
doctor	arzt
automatically	automatisch
match	übereinstimmen
considerations	erwägungen
raised	aufgeworfen
contains	enthalt
statements	erklärungen
presence	präsenz
civil	bürgerlichen
pays	zahlt
prisoners	gefangene
obtaining	beschaffung
sol	sol
intellectual	geistigen
son	sohn
down	down
lies	liegt
beings	menschenhandel
raises	wirft
coastal	küsten
balanced	ausgewogenen
amsterdam	amsterdamer
refined	stilvollen
reducing	verringerung
often	oftmals
rely	verlassen
panorama	panorama
support	unterstütze
initial	ursprünglichen
legislation	gesetzgebung
sovereign	hoheitsgebiet
fight	kampf
accordingly	dementsprechend
fought	gekämpft
editor	editor
way	weise
spring	frühjahr
resulted	führten
music	musik
was	war
war	krieges
happy	glücklich
lowest	niedrigsten
head	kopf
medium	medium
offering	anbietet
offer	anbieten
some	manche
becoming	zunehmend
recommend	empfehle
analyse	analysieren
oil	öl
wireless	wireless
failure	versagen
heat	wärme
hear	höre
dead	tot
solar	sonne
sustained	nachhaltiges
approval	genehmigung
removed	gestrichen
true	wahr
sent	gesendet
congratulations	glückwünsche
versions	versionen
assessment	folgenabschätzung
inside	innen
attached	angeschlossen
maximum	maximalen
devices	geräten
tell	erzählen
budgets	haushaltsausschusses
crystal	unmissverständlich
economic	wirtschaftlichen
stages	phasen
delete	löschen
passenger	personenverkehr
promises	verspricht
adopt	verabschieden
liberal	liberale
puerto	puerto
inclusive	inklusive
request	antrag
tournament	turnier
covers	deckt
evidence	beweise
expertise	fachwissen
promised	versprochen
accounting	entfallen
ship	schiff
20	20
trip	ausflug
negotiations	verhandlungen
physical	physischen
ni	ni
vista	vista
newsletter	newsletter
nl	nl
floor	etage
index	index
whereas	während
stake	spiel
tip	ratschlag
menu	menü
reality	realität
setting	festlegung
role	rolle
holding	abzuhalten
digital	digitalen
test	test
developers	entwickler
operators	betreiber
picture	bild
intend	beabsichtigen
models	modellen
why	warum
felt	spürbar
update	update
fell	fielen
restore	wiederherzustellen
occasion	anlass
variable	variable
discharge	entlastung
weekend	wochenende
died	gestorben
billion	mrd.
faster	schnellere
98	98
assume	gehe
typically	üblicherweise
debian	debian
modules	module
daily	tägliche
beds	zustellbetten
vietnam	vietnam
text	text
reception	rezeption
time	zeit
push	drängen
serious	ernsten
laws	gesetzen
profits	gewinne
songs	lieder
precise	präzise
now	jetzt
concepts	konzepte
managed	verwaltet
0	0
chain	kette
dance	tanz
promoted	gefördert
global	globalen
alternatives	alternativen
focus	fokus
themes	themen
manager	manager
delays	verzögerungen
comments	kommentare
grateful	dankbar
skiing	skifahren
battle	schlacht
chair	vorsitzende
involved	beteiligten
smes	kmu
milk	milch
row	zeile
devoted	gewidmet
venice	venedig
depend	abhängen
zone	zone
flash	flash
father	vater
environment	umwelt
iraqi	irakische
finally	endlich
permanently	permanent
marks	markiert
suffered	erlitten
must	muss
identity	identität
conservation	erhaltung
brown	salz
downloading	herunterladen
reconciliation	versöhnung
string	kette
advantage	vorteil
cheap	billige
confidence	vertrauens
consolidation	konsolidierung
choice	wahl
liability	haftung
anonymous	anonymous
stays	übernachtungen
join	beitreten
trouble	mühe
exact	genauen
minute	minute
governments	regierungen
impressive	beeindruckende
immediately	unverzüglich
level	level
did	wussten
die	sterben
rights	rechte
proposals	vorschlägen
brother	bruder
standards	standards
leave	verlassen
mm	mm
planning	planung
excellence	herausragende
booking	buchung
team	team
quick	schnelle
convince	überzeugen
round	runde
greenhouse	treibhausgasemissionen
upper	oberen
olympic	olympischen
talked	gesprochen
says	sagt
villa	villa
findings	erkenntnisse
be	sein
trend	trend
dealing	umgang
discover	entdecken
literature	literatur
sign	unterzeichnen
cost	kosten
soldiers	soldaten
run	laufen
port	port
cosy	gemütliche
drinks	getränken
presidentinoffice	ratspräsident
cargo	transportiert
adds	fügt
constitution	verfassung
church	kirche
assistance	hilfe
celebrated	gefeiert
remain	verbleiben
shares	aktien
uniform	einheitliche
current	derzeitige
ancient	antiken
goes	hinausgeht
reply	antwort
falling	sinken
appeal	appell
boost	impuls
filled	gefüllt
temperatures	temperaturen
satisfy	befriedigen
drafted	ausgearbeitet
transportation	transport
transparency	transparenz
tibet	tibet
honour	ehre
muslim	muslimischen
french	französische
understanding	verständnis
water	wassers
downloaded	heruntergeladen
upgrade	upgrade
groups	fraktionen
address	adresse
alone	allein
along	entlang
stem	stammzellen
appears	erscheint
change	wandels
wait	abwarten
box	box
sending	versenden
expressly	ausdrücklich
shift	verlagerung
studied	studierte
dublin	dublin
commonly	häufigsten
proud	stolz
exploitation	ausbeutung
trial	gerichtsverfahren
globalisation	globalisierung
suggestion	anregung
usually	gewöhnlich
hospitality	gastfreundschaft
conveniently	günstiger
studies	studien
massage	massage
genuinely	wahrhaft
emerge	auftauchen
breathtaking	atemberaubende
tasks	aufgaben
love	love
raise	anzusprechen
hiking	wandern
extra	zustellbetten
merely	bloß
prefer	bevorzugen
logical	logische
europol	europol
customised	maßgeschneiderte
thumbnail	bild
flexibility	flexibilität
1st	1.
operational	operative
crisis	krise
market	marktes
hotels	hotels
everybody	jedermann
troops	truppen
working	arbeitszeit
roma	roma
sake	willen
positive	positiven
stated	erklärten
visit	besuchen
charles	charles
permitted	zulässig
stored	gespeicherten
territories	besetzten
live	live
wood	holz
iphone	iphone
memory	speicher
films	filme
scope	geltungsbereich
associated	verbundene
today	heutige
introducing	einführung
commissioner	kommissarin
sharing	aufteilung
said	sagte
sessions	sitzungen
clicking	anklicken
flying	fliegen
acceptable	akzeptabel
apparent	ersichtlich
chocolate	schokolade
downtown	innenstadt
employee	angestellten
visual	visual
everywhere	überall
conflicts	konflikte
enthusiasm	begeisterung
olive	olivenöl
cases	fällen
effort	anstrengung
communist	kommunistische
behalf	namen
fly	fliegen
states	staaten
graphic	grafische
sphere	zuständigkeitsbereich
car	autovermietung
originally	ursprünglich
cap	gap
soul	seele
believes	glaubt
reviews	nachfolgend
printing	drucken
values	werten
can	kannst
growing	wachsende
making	entscheidungsfindung
arrive	ankommen
dollars	dollar
claim	behauptung
dedicated	gewidmet
citizens	bürgern
figure	figur
expanding	ausweitung
subsidies	subventionen
sense	sinn
deadline	frist
define	definieren
agent	vermittler
topic	themas
heard	hörte
performed	aufgeführt
council	rat
allowed	zugelassen
spa	spa
referendum	referendum
clothing	kleidung
occur	auftreten
english	englische
swedish	schwedische
conflict	konflikts
productive	produktivität
requirements	anforderungen
winter	winter
fortunately	glücklicherweise
discussion	diskussion
exceptional	außergewöhnlichen
magazine	magazin
chemical	chemischen
till	bis
sunday	sonntag
vital	unerlässlich
pure	reinen
familiar	vertraut
plus	plus
absolute	absoluten
parameter	parameter
economy	volkswirtschaft
map	map
product	produkts
designer	designer
laundry	wäscheservice
information	informations-
may	mai
max	max
dive	tauchen
fed	fed
spot	ort
needs	bedürfnisse
motorway	autobahn
sustainability	nachhaltigkeit
mac	mac
produce	produzieren
designed	entworfen
seeing	beobachten
commit	begehen
date	datum
such	solch
38	38
truly	wahrhaft
revealed	offenbart
grow	wachsen
unity	einheit
man	mann
ombudsman	bürgerbeauftragte
stress	stress
branches	niederlassungen
remember	erinnere
succeeded	gelungen
whenever	wann
maybe	vielleicht
applicant	beitrittskandidaten
explicit	ausdrückliche
st	st
provide	bereitstellen
switch	wechseln
ones	angehörigen
so	sodass
deposit	anzahlung
african	afrikanische
challenge	herausforderung
representation	vertretung
increase	aufstockung
se	se
typical	typische
honourable	verehrten
exclusive	exklusiven
approx	ca.
serving	servieren
furnished	eingerichteten
indeed	tat
pointed	wies
exchanges	austausch
displayed	angezeigt
consulting	consulting
kong	hongkong
stability	stabilität
brain	verstand
stayed	blieben
statistical	statistischen
cuts	kürzungen
november	november
managers	führungskräfte
cold	kalten
still	still
birds	vögel
group	fraktion
monitor	monitor
internationally	international
how	wieviel
interesting	interessante
organisation	organisation
facility	anlage
amazing	erstaunlich
forms	formen
platform	plattform
window	fenster
offers	angebote
spacious	geräumigen
constitutes	ausmacht
policy	politik
mail	mail
main	hauptziel
norway	norwegen
into	inkrafttreten
instantly	sofort
non	non
usa	usa
finance	finanzminister
thereby	wodurch
civilian	zivilbevölkerung
evolution	evolution
introduce	einführen
indigenous	einheimische
lunch	mittag-
qualified	qualifizierte
try	versuchen
half	hälfte
not	nicht
feature	merkmal
thus	somit
bath	bath
provision	bestimmung
widespread	verbreitete
maintaining	aufrechterhaltung
nos	änderungsanträgen
accommodate	untergebracht
term	amtszeit
equality	gleichheit
name	name
opera	opera
january	januar
times	times
didn	wusste
debating	debattieren
establishing	errichtung
possibilities	möglichkeiten
realistic	realistische
stockholm	stockholm
realise	realisieren
rock	rock
ecu	ecu
entirely	gänzlich
quarter	quartal
concerts	konzerte
individually	individuell
el	el
domain	domain
en	en
significantly	bedeutend
mexico	mexiko
badly	schlecht
procurement	beschaffung
eg	eg
revised	überarbeitet
availability	verfügbarkeit
plant	anlage
ec	eg
conventions	übereinkommen
challenges	herausforderungen
involves	einschließt
fires	feuer
owing	aufgrund
organic	ökologischen
begun	begonnen
year	jahres
eu	eu
et	et
happen	passieren
summary	zusammenfassung
disasters	katastrophen
es	drive
intended	gedacht
canada	kanada
living	lebensstandard
ultimately	letztlich
opened	eröffnete
3rd	3.
space	space
profit	profit
furthermore	ferner
factory	fabrik
looking	suchen
contained	enthielt
investigation	untersuchung
unforgettable	unvergesslichen
com	kom
rational	vernünftigen
dutch	niederländische
formula	formel
receiving	erhalt
sensor	misst
correct	korrekten
assurance	versicherung
shows	shows
creating	schaffung
attended	besuchte
theory	theorie
older	älteren
cars	autos
million	mio.
mechanisms	mechanismen
possibility	möglichkeit
quite	ziemlich
advantages	vorteilen
trademarks	warenzeichen
placed	platziert
marina	marina
obligation	verpflichtung
marine	marine
accommodation	unterkünfte
card	card
care	gesundheitsfürsorge
advance	voraus
training	schulung
language	sprache
ministry	dienstes
locations	standorten
discussing	diskutieren
listings	listings
programming	programmierung
british	british
honest	ehrlich
motion	entschließungsantrag
thing	sache
place	place
massive	massive
invitation	einladung
routes	routen
lighting	beleuchtung
promotion	förderung
view	view
think	denke
frequent	häufiger
first	erste
origin	herkunft
cheese	käse
constantly	ständig
rapporteurs	berichterstattern
revenue	einnahmen
spoken	gesprochen
clause	klausel
one	eins
commissioners	kommissare
long	langen
directly	direkt
spanish	spanische
vote	abstimmung
impossible	unmöglich
array	palette
ways	vielerlei
open	offenen
george	george
mix	mix
size	größe
airbus	airbus
city	city
given	anbetracht
necessarily	notwendigerweise
sheet	blatt
silent	stille
district	bezirk
v	v
caught	gefangen
structured	aufgebaut
plastic	kunststoff
anyone	niemandem
indicate	anzugeben
returns	liefert
2	2
tragic	tragischen
convention	konvent
legally	rechtlich
white	white
structures	strukturen
filter	filter
friend	freund
gives	verleiht
bear	zeugnis
exploring	erforschen
mining	abbau
becomes	erlangt
releases	veröffentlichungen
that	dass
season	saison
moscow	moskau
continuous	kontinuierliche
shortcomings	mängel
undertaken	eingegangenen
released	freigegeben
quae	que
specialists	spezialisten
copy	kopie
undoubtedly	zweifellos
